"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2009","Berlin","Million euro","98,714.82","e"
"2009","Brandenburg","Million euro","53,242.89","e"
"2009","Brandenburg","Million euro","53,242.89","e"
"2009","Bremen","Million euro","24,973.09","e"
"2009","Bremen","Million euro","24,973.09","e"
"2009","Hamburg","Million euro","91,328.13","e"
"2009","Hamburg","Million euro","91,328.13","e"
"2009","Hessen","Million euro","218,883.69","e"
"2009","Darmstadt","Million euro","157,779.79","e"
"2009","Gießen","Million euro","27,316.24","e"
"2009","Kassel","Million euro","33,787.65","e"
"2009","Mecklenburg-Vorpommern","Million euro","33,901.02","e"
"2009","Mecklenburg-Vorpommern","Million euro","33,901.02","e"
"2009","Niedersachsen","Million euro","208,656.08","e"
"2009","Braunschweig","Million euro","45,679.31","e"
"2009","Hannover","Million euro","62,408.59","e"
"2009","Lüneburg","Million euro","35,486.71","e"
"2009","Weser-Ems","Million euro","65,081.46","e"
"2009","Nordrhein-Westfalen","Million euro","546,815.9","e"
"2009","Düsseldorf","Million euro","176,644.71","e"
"2009","Köln","Million euro","145,834.72","e"
"2009","Münster","Million euro","67,995.86","e"
"2009","Detmold","Million euro","58,640.8","e"
"2009","Arnsberg","Million euro","97,699.82","e"
"2009","Rheinland-Pfalz","Million euro","107,599.03","e"
"2009","Koblenz","Million euro","38,191.54","e"
"2009","Trier","Million euro","12,249.11","e"
"2009","Rheinhessen-Pfalz","Million euro","57,158.4","e"
"2009","Saarland","Million euro","28,478.76","e"
"2009","Saarland","Million euro","28,478.76","e"
"2009","Sachsen","Million euro","90,550.46","e"
"2009","Dresden","Million euro","36,171","e"
"2009","Chemnitz","Million euro","31,356.15","e"
"2009","Leipzig","Million euro","23,023.3","e"
"2009","Sachsen-Anhalt","Million euro","48,202.93","e"
"2009","Sachsen-Anhalt","Million euro","48,202.93","e"
"2009","Schleswig-Holstein","Million euro","71,798.92","e"
"2009","Schleswig-Holstein","Million euro","71,798.92","e"
"2009","Thüringen","Million euro","45,198.61","e"
"2009","Thüringen","Million euro","45,198.61","e"
"2009","Estonia","Million euro","14,211.81",""
"2009","Eesti","Million euro","14,211.81",""
"2009","Eesti","Million euro","14,211.81",""
"2009","Ireland","Million euro","170,100.5",""
"2009","Éire/Ireland","Million euro","170,100.5",""
"2009","Northern and Western","Million euro","20,291.18",""
"2009","Southern","Million euro","54,337.75",""
"2009","Eastern and Midland","Million euro","95,471.53",""
"2009","Greece","Million euro","237,534.2",""
"2009","Voreia Ellada","Million euro","51,808.2",""
"2009","Anatoliki Makedonia, Thraki","Million euro","9,306.02",""
"2009","Kentriki Makedonia","Million euro","32,439.08",""
"2009","Dytiki Makedonia","Million euro","5,038.6",""
"2009","Ipeiros","Million euro","5,024.51",""
"2009","Kentriki Ellada","Million euro","47,221.25",""
"2009","Thessalia","Million euro","11,814.34",""
"2009","Ionia Nisia","Million euro","4,200.25",""
"2009","Dytiki Ellada","Million euro","10,889.66",""
"2009","Sterea Ellada","Million euro","10,404.88",""
"2009","Peloponnisos","Million euro","9,912.12",""
"2009","Attiki","Million euro","116,000.9",""
"2009","Attiki","Million euro","116,000.9",""
"2009","Nisia Aigaiou, Kriti","Million euro","22,503.85",""
"2009","Voreio Aigaio","Million euro","3,395.47",""
"2009","Notio Aigaio","Million euro","7,599.14",""
"2009","Kriti","Million euro","11,509.24",""
"2009","Spain","Million euro","1,069,323",""
"2009","Noroeste (ES)","Million euro","91,634.3",""
"2009","Galicia","Million euro","56,303.41",""
"2009","Principado de Asturias","Million euro","22,542.28",""
"2009","Cantabria","Million euro","12,788.61",""
"2009","Noreste (ES)","Million euro","123,280.36",""
"2009","País Vasco","Million euro","63,926",""
"2009","Comunidad Foral de Navarra","Million euro","17,897.02",""
"2009","La Rioja","Million euro","7,892.57",""
"2009","Aragón","Million euro","33,564.78",""
"2009","Comunidad de Madrid","Million euro","198,373.99",""
"2009","Comunidad de Madrid","Million euro","198,373.99",""
"2009","Centro (ES)","Million euro","111,207.8",""
"2009","Castilla y León","Million euro","54,795.54",""
"2009","Castilla-la Mancha","Million euro","38,582.47",""
"2009","Extremadura","Million euro","17,829.79",""
"2009","Este (ES)","Million euro","328,061.46",""
"2009","Cataluña","Million euro","200,140.1",""
"2009","Comunidad Valenciana","Million euro","101,443.46",""
"2009","Illes Balears","Million euro","26,477.89",""
"2009","Sur (ES)","Million euro","175,496.62",""
"2009","Andalucía","Million euro","144,878.22",""
"2009","Región de Murcia","Million euro","27,669.89",""
"2009","Ciudad Autónoma de Ceuta (ES)","Million euro","1,551.62",""
"2009","Ciudad Autónoma de Melilla (ES)","Million euro","1,396.89",""
"2009","Canarias (ES)","Million euro","40,296.3",""
"2009","Canarias (ES)","Million euro","40,296.3",""
"2009","Extra-Regio NUTS 1","Million euro","972.17",""
"2009","Extra-Regio NUTS 2","Million euro","972.17",""
"2009","France","Million euro",":",""
"2009","Île de France","Million euro",":",""
"2009","Île de France","Million euro",":",""
"2009","Centre - Val de Loire","Million euro",":",""
"2009","Centre - Val de Loire","Million euro",":",""
"2009","Bourgogne - Franche-Comté","Million euro",":",""
"2009","Bourgogne","Million euro",":",""
"2009","Franche-Comté","Million euro",":",""
"2009","Normandie","Million euro",":",""
"2009","Basse-Normandie","Million euro",":",""
"2009","Haute-Normandie","Million euro",":",""
"2009","Nord-Pas-de-Calais - Picardie","Million euro",":",""
"2009","Nord-Pas-de-Calais","Million euro",":",""
"2009","Picardie","Million euro",":",""
"2009","Alsace - Champagne-Ardenne - Lorraine","Million euro",":",""
"2009","Alsace","Million euro",":",""
"2009","Champagne-Ardenne","Million euro",":",""
"2009","Lorraine","Million euro",":",""
"2009","Pays-de-la-Loire","Million euro",":",""
"2009","Pays-de-la-Loire","Million euro",":",""
"2009","Bretagne","Million euro",":",""
"2009","Bretagne","Million euro",":",""
"2009","Aquitaine - Limousin - Poitou-Charentes","Million euro",":",""
"2009","Aquitaine","Million euro",":",""
"2009","Limousin","Million euro",":",""
"2009","Poitou-Charentes","Million euro",":",""
"2009","Languedoc-Roussillon - Midi-Pyrénées","Million euro",":",""
"2009","Languedoc-Roussillon","Million euro",":",""
"2009","Midi-Pyrénées","Million euro",":",""
"2009","Auvergne - Rhône-Alpes","Million euro",":",""
"2009","Auvergne","Million euro",":",""
"2009","Rhône-Alpes","Million euro",":",""
"2009","Provence-Alpes-Côte d'Azur","Million euro",":",""
"2009","Provence-Alpes-Côte d'Azur","Million euro",":",""
"2009","Corse","Million euro",":",""
"2009","Corse","Million euro",":",""
"2009","RUP FR - Régions ultrapériphériques françaises","Million euro",":",""
"2009","Guadeloupe","Million euro",":",""
"2009","Martinique","Million euro",":",""
"2009","Guyane","Million euro",":",""
"2009","La Réunion","Million euro",":",""
"2009","Mayotte","Million euro",":",""
"2009","Extra-Regio NUTS 1","Million euro",":",""
"2009","Extra-Regio NUTS 2","Million euro",":",""
"2009","Croatia","Million euro","45,064.14",""
"2009","Hrvatska","Million euro","45,064.14",""
"2009","Jadranska Hrvatska","Million euro","14,378.48",""
"2009","Kontinentalna Hrvatska","Million euro","30,685.66",""
"2009","Italy","Million euro","1,577,256",""
"2009","Nord-Ovest","Million euro","503,937.41",""
"2009","Piemonte","Million euro","121,004.76",""
"2009","Valle d'Aosta/Vallée d'Aoste","Million euro","4,301.13",""
"2009","Liguria","Million euro","47,117.27",""
"2009","Lombardia","Million euro","331,514.13",""
"2009","Nord-Est","Million euro","348,232.38",""
"2009","Provincia Autonoma di Bolzano/Bozen","Million euro","18,499.58",""
"2009","Provincia Autonoma di Trento","Million euro","17,268.53",""
"2009","Veneto","Million euro","142,443.84",""
"2009","Friuli-Venezia Giulia","Million euro","34,062.44",""
"2009","Emilia-Romagna","Million euro","135,958.09",""
"2009","Centro (IT)","Million euro","348,929",""
"2009","Toscana","Million euro","104,318.14",""
"2009","Umbria","Million euro","21,643.66",""
"2009","Marche","Million euro","39,967.29",""
"2009","Lazio","Million euro","183,000.03",""
"2009","Sud","Million euro","252,527.48",""
"2009","Abruzzo","Million euro","29,830.21",""
"2009","Molise","Million euro","6,605.8",""
"2009","Campania","Million euro","102,963.83",""
"2009","Puglia","Million euro","68,976.83",""
"2009","Basilicata","Million euro","10,966.95",""
"2009","Calabria","Million euro","33,183.86",""
"2009","Isole","Million euro","122,224.94",""
"2009","Sicilia","Million euro","89,043.18",""
"2009","Sardegna","Million euro","33,181.76",""
"2009","Extra-Regio NUTS 1","Million euro","1,404.79",""
"2009","Extra-Regio NUTS 2","Million euro","1,404.79",""
"2009","Cyprus","Million euro","18,675.49",""
"2009","Kypros","Million euro","18,675.49",""
"2009","Kypros","Million euro","18,675.49",""
"2009","Latvia","Million euro","18,807.4",""
"2009","Latvija","Million euro","18,771.35",""
"2009","Latvija","Million euro","18,771.35",""
"2009","Extra-Regio NUTS 1","Million euro","36.05",""
"2009","Extra-Regio NUTS 2","Million euro","36.05",""
"2009","Lithuania","Million euro","26,934.82",""
"2009","Lietuva","Million euro","26,934.82",""
"2009","Sostines regionas","Million euro","10,362.53",""
"2009","Vidurio ir vakaru Lietuvos regionas","Million euro","16,572.29",""
"2009","Luxembourg","Million euro","36,976.52",""
"2009","Luxembourg","Million euro","36,976.52",""
"2009","Luxembourg","Million euro","36,976.52",""
"2009","Hungary","Million euro","94,382.56",""
"2009","Közép-Magyarország","Million euro","46,475.78",""
"2009","Budapest","Million euro","36,585.7",""
"2009","Pest","Million euro","9,890.08",""
"2009","Dunántúl","Million euro","23,851.91",""
"2009","Közép-Dunántúl","Million euro","8,728.33",""
"2009","Nyugat-Dunántúl","Million euro","9,014.89",""
"2009","Dél-Dunántúl","Million euro","6,108.69",""
"2009","Alföld és Észak","Million euro","24,054.88",""
"2009","Észak-Magyarország","Million euro","6,750.46",""
"2009","Észak-Alföld","Million euro","8,957.96",""
"2009","Dél-Alföld","Million euro","8,346.45",""
"2009","Extra-Regio NUTS 1","Million euro","0",""
"2009","Extra-Regio NUTS 2","Million euro","0",""
"2009","Malta","Million euro","6,138.62",""
"2009","Malta","Million euro","6,125.72",""
"2009","Malta","Million euro","6,125.72",""
"2009","Extra-Regio NUTS 1","Million euro","12.9",""
"2009","Extra-Regio NUTS 2","Million euro","12.9",""
"2009","Netherlands","Million euro","624,842",""
"2009","Noord-Nederland","Million euro","55,091.56",""
"2009","Groningen","Million euro","24,365.26",""
"2009","Friesland (NL)","Million euro","17,249.31",""
"2009","Drenthe","Million euro","13,478.11",""
"2009","Oost-Nederland","Million euro","109,880.27",""
"2009","Overijssel","Million euro","35,372.66",""
"2009","Gelderland","Million euro","63,533.61",""
"2009","Flevoland","Million euro","10,974",""
"2009","West-Nederland","Million euro","332,878.66",""
"2009","Utrecht","Million euro","58,752.53",""
"2009","Noord-Holland","Million euro","124,662.21",""
"2009","Zuid-Holland","Million euro","138,615.75",""
"2009","Zeeland","Million euro","10,847.07",""
"2009","Zuid-Nederland","Million euro","123,150.16",""
"2009","Noord-Brabant","Million euro","88,447.79",""
"2009","Limburg (NL)","Million euro","34,702.37",""
"2009","Extra-Regio NUTS 1","Million euro","3,840.23",""
"2009","Extra-Regio NUTS 2","Million euro","3,840.23",""
"2009","Austria","Million euro","288,044",""
"2009","Ostösterreich","Million euro","127,954.47",""
"2009","Burgenland (AT)","Million euro","6,441.6",""
"2009","Niederösterreich","Million euro","45,200.07",""
"2009","Wien","Million euro","76,312.79",""
"2009","Südösterreich","Million euro","52,793.08",""
"2009","Kärnten","Million euro","16,157.87",""
"2009","Steiermark","Million euro","36,635.21",""
"2009","Westösterreich","Million euro","107,173",""
"2009","Oberösterreich","Million euro","48,055.03",""
"2009","Salzburg","Million euro","20,852.16",""
"2009","Tirol","Million euro","25,155.92",""
"2009","Vorarlberg","Million euro","13,109.9",""
"2009","Extra-Regio NUTS 1","Million euro","124.57",""
"2009","Extra-Regio NUTS 2","Million euro","124.57",""
"2009","Poland","Million euro",":",""
"2009","Makroregion Poludniowy","Million euro",":",""
"2009","Malopolskie","Million euro",":",""
"2009","Slaskie","Million euro",":",""
"2009","Makroregion Pólnocno-Zachodni","Million euro",":",""
"2009","Wielkopolskie","Million euro",":",""
"2009","Zachodniopomorskie","Million euro",":",""
"2009","Lubuskie","Million euro",":",""
"2009","Makroregion Poludniowo-Zachodni","Million euro",":",""
"2009","Dolnoslaskie","Million euro",":",""
"2009","Opolskie","Million euro",":",""
"2009","Makroregion Pólnocny","Million euro",":",""
"2009","Kujawsko-Pomorskie","Million euro",":",""
"2009","Warminsko-Mazurskie","Million euro",":",""
"2009","Pomorskie","Million euro",":",""
"2009","Makroregion Centralny","Million euro",":",""
"2009","Lódzkie","Million euro",":",""
"2009","Swietokrzyskie","Million euro",":",""
"2009","Makroregion Wschodni","Million euro",":",""
"2009","Lubelskie","Million euro",":",""
"2009","Podkarpackie","Million euro",":",""
"2009","Podlaskie","Million euro",":",""
"2009","Makroregion Województwo Mazowieckie","Million euro",":",""
"2009","Warszawski stoleczny","Million euro",":",""
"2009","Mazowiecki regionalny","Million euro",":",""
"2009","Portugal","Million euro","175,416.4",""
"2009","Continente","Million euro","167,157.31",""
"2009","Norte","Million euro","49,200.58",""
"2009","Algarve","Million euro","7,447.15",""
"2009","Centro (PT)","Million euro","32,935.19",""
"2009","Área Metropolitana de Lisboa","Million euro","66,232.94",""
"2009","Alentejo","Million euro","11,341.45",""
"2009","Região Autónoma dos Açores (PT)","Million euro","3,728.63",""
"2009","Região Autónoma dos Açores (PT)","Million euro","3,728.63",""
"2009","Região Autónoma da Madeira (PT)","Million euro","4,334.55",""
"2009","Região Autónoma da Madeira (PT)","Million euro","4,334.55",""
"2009","Extra-Regio NUTS 1","Million euro","195.91",""
"2009","Extra-Regio NUTS 2","Million euro","195.91",""
"2009","Romania","Million euro","125,213.9",""
"2009","Macroregiunea unu","Million euro","28,542.56",""
"2009","Nord-Vest","Million euro","14,467.06",""
"2009","Centru","Million euro","14,075.51",""
"2009","Macroregiunea doi","Million euro","26,798",""
"2009","Nord-Est","Million euro","13,446.94",""
"2009","Sud-Est","Million euro","13,351.06",""
"2009","Macroregiunea trei","Million euro","47,393.83",""
"2009","Sud - Muntenia","Million euro","16,458.55",""
"2009","Bucuresti - Ilfov","Million euro","30,935.28",""
"2009","Macroregiunea patru","Million euro","22,377.17",""
"2009","Sud-Vest Oltenia","Million euro","9,986.12",""
"2009","Vest","Million euro","12,391.05",""
"2009","Extra-Regio NUTS 1","Million euro","102.34",""
"2009","Extra-Regio NUTS 2","Million euro","102.34",""
"2009","Slovenia","Million euro","36,254.93",""
"2009","Slovenija","Million euro","36,254.93",""
"2009","Vzhodna Slovenija","Million euro","15,902.86",""
"2009","Zahodna Slovenija","Million euro","20,352.07",""
"2009","Slovakia","Million euro","64,095.52",""
"2009","Slovensko","Million euro","64,095.52",""
"2009","Bratislavský kraj","Million euro","18,399.31",""
"2009","Západné Slovensko","Million euro","20,316.73",""
"2009","Stredné Slovensko","Million euro","12,693.09",""
"2009","Východné Slovensko","Million euro","12,686.4",""
"2009","Finland","Million euro","181,747",""
"2009","Manner-Suomi","Million euro","180,520.46",""
"2009","Länsi-Suomi","Million euro","41,147.52",""
"2009","Helsinki-Uusimaa","Million euro","70,383.71",""
"2009","Etelä-Suomi","Million euro","34,288.52",""
"2009","Pohjois- ja Itä-Suomi","Million euro","34,700.7",""
"2009","Åland","Million euro","1,154.18",""
"2009","Åland","Million euro","1,154.18",""
"2009","Extra-Regio NUTS 1","Million euro","72.37",""
"2009","Extra-Regio NUTS 2","Million euro","72.37",""
"2009","Sweden","Million euro","313,611.98",""
"2009","Östra Sverige","Million euro","142,313.09",""
"2009","Stockholm","Million euro","97,178.35",""
"2009","Östra Mellansverige","Million euro","45,134.74",""
"2009","Södra Sverige","Million euro","122,441.64",""
"2009","Småland med öarna","Million euro","22,729.58",""
"2009","Sydsverige","Million euro","39,820.13",""
"2009","Västsverige","Million euro","59,891.92",""
"2009","Norra Sverige","Million euro","48,762.56",""
"2009","Norra Mellansverige","Million euro","22,599.86",""
"2009","Mellersta Norrland","Million euro","11,206.05",""
"2009","Övre Norrland","Million euro","14,956.66",""
"2009","Extra-Regio NUTS 1","Million euro","94.69",""
"2009","Extra-Regio NUTS 2","Million euro","94.69",""
"2009","United Kingdom","Million euro","1,737,000.25",""
"2009","North East (UK)","Million euro","55,014.45",""
"2009","Tees Valley and Durham","Million euro","23,753.22",""
"2009","Northumberland and Tyne and Wear","Million euro","31,261.24",""
"2009","North West (UK)","Million euro","169,993.23",""
"2009","Cumbria","Million euro","11,832.84",""
"2009","Greater Manchester","Million euro","65,250.76",""
"2009","Lancashire","Million euro","31,150.28",""
"2009","Cheshire","Million euro","28,149.54",""
"2009","Merseyside","Million euro","33,609.81",""
"2009","Yorkshire and The Humber","Million euro","119,641.4",""
"2009","East Yorkshire and Northern Lincolnshire","Million euro","20,865.89",""
"2009","North Yorkshire","Million euro","19,832.77",""
"2009","South Yorkshire","Million euro","25,805.9",""
"2009","West Yorkshire","Million euro","53,136.83",""
"2009","East Midlands (UK)","Million euro","100,298.07",""
"2009","Derbyshire and Nottinghamshire","Million euro","44,900.2",""
"2009","Leicestershire, Rutland and Northamptonshire","Million euro","41,246.05",""
"2009","Lincolnshire","Million euro","14,151.82",""
"2009","West Midlands (UK)","Million euro","121,570.8",""
"2009","Herefordshire, Worcestershire and Warwickshire","Million euro","30,130.72",""
"2009","Shropshire and Staffordshire","Million euro","31,661.91",""
"2009","West Midlands","Million euro","59,778.16",""
"2009","East of England","Million euro","146,364.53",""
"2009","East Anglia","Million euro","58,434.36",""
"2009","Bedfordshire and Hertfordshire","Million euro","49,862.4",""
"2009","Essex","Million euro","38,067.77",""
"2009","London","Million euro","377,135.77",""
"2009","Inner London - West","Million euro","158,964.2",""
"2009","Inner London - East","Million euro","92,478.13",""
"2009","Outer London - East and North East","Million euro","34,074.59",""
"2009","Outer London - South","Million euro","31,252.61",""
"2009","Outer London - West and North West","Million euro","60,366.23",""
"2009","South East (UK)","Million euro","256,676.99",""
"2009","Berkshire, Buckinghamshire and Oxfordshire","Million euro","85,867.62",""
"2009","Surrey, East and West Sussex","Million euro","79,181.9",""
"2009","Hampshire and Isle of Wight","Million euro","52,932.18",""
"2009","Kent","Million euro","38,695.29",""
"2009","South West (UK)","Million euro","129,853.05",""
"2009","Gloucestershire, Wiltshire and Bristol/Bath area","Million euro","67,664.67",""
"2009","Dorset and Somerset","Million euro","28,518.16",""
"2009","Cornwall and Isles of Scilly","Million euro","9,841.8",""
"2009","Devon","Million euro","23,829.65",""
"2009","Wales","Million euro","59,959.39",""
"2009","West Wales and The Valleys","Million euro","32,940.37",""
"2009","East Wales","Million euro","27,020.25",""
"2009","Scotland","Million euro","138,344.88",""
"2009","North Eastern Scotland","Million euro","19,363.06",""
"2009","Highlands and Islands","Million euro","11,912.98",""
"2009","Eastern Scotland","Million euro","54,473.23",""
"2009","West Central Scotland","Million euro","36,651.23",""
"2009","Southern Scotland","Million euro","15,944.38",""
"2009","Northern Ireland (UK)","Million euro","39,320.34",""
"2009","Northern Ireland (UK)","Million euro","39,320.34",""
"2009","Extra-Regio NUTS 1","Million euro","22,828.58",""
"2009","Extra-Regio NUTS 2","Million euro","22,828.58",""
"2009","Norway","Million euro","278,246.64",""
"2009","Norge","Million euro","222,731.88",""
"2009","Oslo og Akershus","Million euro","68,839.82",""
"2009","Hedmark og Oppland","Million euro","12,570.45",""
"2009","Sør-Østlandet","Million euro","33,757.28",""
"2009","Agder og Rogaland","Million euro","34,394.94",""
"2009","Vestlandet","Million euro","38,874.84",""
"2009","Trøndelag","Million euro","16,650.06",""
"2009","Nord-Norge","Million euro","17,644.48",""
"2009","Extra-Regio level 1","Million euro","55,514.76",""
"2009","Extra-Regio level 2","Million euro","55,514.76",""
"2009","Montenegro","Million euro","2,993.88",""
"2009","Crna Gora","Million euro","2,993.88",""
"2009","Crna Gora","Million euro","2,993.88",""
"2009","North Macedonia","Million euro","6,766.51",""
"2009","Severna Makedonija","Million euro","6,766.51",""
"2009","Severna Makedonija","Million euro","6,766.51",""
"2009","Albania","Million euro","8,662.24",""
"2009","Shqipëria","Million euro","8,662.24",""
"2009","Veri","Million euro","2,071.7",""
"2009","Qender","Million euro","4,153.76",""
"2009","Jug","Million euro","2,436.78",""
"2009","Serbia","Million euro",":",""
"2009","Srbija - sever","Million euro",":",""
"2009","Beogradski region","Million euro",":",""
"2009","Region Vojvodine","Million euro",":",""
"2009","Srbija - jug","Million euro",":",""
"2009","Region Sumadije i Zapadne Srbije","Million euro",":",""
"2009","Region Juzne i Istocne Srbije","Million euro",":",""
"2009","Extra-Regio level 1","Million euro",":",""
"2009","Extra-Regio level 2","Million euro",":",""
"2009","Turkey","Million euro","461,925.87",""
"2009","Istanbul","Million euro","138,854.97",""
"2009","Istanbul","Million euro","138,854.97",""
"2009","Bati Marmara","Million euro","20,457.67",""
"2009","Tekirdag, Edirne, Kirklareli","Million euro","10,627.67",""
"2009","Balikesir, Çanakkale","Million euro","9,830",""
"2009","Ege","Million euro","58,935.96",""
"2009","Izmir","Million euro","28,465.58",""
"2009","Aydin, Denizli, Mugla","Million euro","15,150.99",""
"2009","Manisa, Afyonkarahisar, Kütahya, Usak","Million euro","15,319.39",""
"2009","Dogu Marmara","Million euro","49,259.39",""
"2009","Bursa, Eskisehir, Bilecik","Million euro","25,033.94",""
"2009","Kocaeli, Sakarya, Düzce, Bolu, Yalova","Million euro","24,225.45",""
"2009","Bati Anadolu","Million euro","57,933.66",""
"2009","Ankara","Million euro","46,935.46",""
"2009","Konya, Karaman","Million euro","10,998.2",""
"2009","Akdeniz","Million euro","47,739.92",""
"2009","Antalya, Isparta, Burdur","Million euro","18,852.64",""
"2009","Adana, Mersin","Million euro","17,787.25",""
"2009","Hatay, Kahramanmaras, Osmaniye","Million euro","11,100.03",""
"2009","Orta Anadolu","Million euro","17,451.71",""
"2009","Kirikkale, Aksaray, Nigde, Nevsehir, Kirsehir","Million euro","6,376.34",""
"2009","Kayseri, Sivas, Yozgat","Million euro","11,075.37",""
"2009","Bati Karadeniz","Million euro","19,440.03",""
"2009","Zonguldak, Karabük, Bartin","Million euro","4,191.68",""
"2009","Kastamonu, Çankiri, Sinop","Million euro","3,471.89",""
"2009","Samsun, Tokat, Çorum, Amasya","Million euro","11,776.46",""
"2009","Dogu Karadeniz","Million euro","11,174.34",""
"2009","Trabzon, Ordu, Giresun, Rize, Artvin, Gümüshane","Million euro","11,174.34",""
"2009","Kuzeydogu Anadolu","Million euro","7,180.91",""
"2009","Erzurum, Erzincan, Bayburt","Million euro","4,238.55",""
"2009","Agri, Kars, Igdir, Ardahan","Million euro","2,942.36",""
"2009","Ortadogu Anadolu","Million euro","11,148.1",""
"2009","Malatya, Elazig, Bingöl, Tunceli","Million euro","6,262.92",""
"2009","Van, Mus, Bitlis, Hakkari","Million euro","4,885.18",""
"2009","Güneydogu Anadolu","Million euro","22,349.21",""
"2009","Gaziantep, Adiyaman, Kilis","Million euro","8,631.36",""
"2009","Sanliurfa, Diyarbakir","Million euro","8,209.21",""
"2009","Mardin, Batman, Sirnak, Siirt","Million euro","5,508.64",""
"2010","European Union - 27 countries (from 2020)","Million euro","10,978,266.91",""
"2010","European Union - 28 countries (2013-2020)","Million euro","12,845,662.91",""
"2010","Belgium","Million euro","363,140.1",""
"2010","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Million euro","67,327.37",""
"2010","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Million euro","67,327.37",""
"2010","Vlaams Gewest","Million euro","208,876.15",""
"2010","Prov. Antwerpen","Million euro","68,393.32",""
"2010","Prov. Limburg (BE)","Million euro","22,595.22",""
"2010","Prov. Oost-Vlaanderen","Million euro","43,270.17",""
"2010","Prov. Vlaams-Brabant","Million euro","37,986.33",""
"2010","Prov. West-Vlaanderen","Million euro","36,631.12",""
"2010","Région wallonne","Million euro","86,693.14",""
"2010","Prov. Brabant wallon","Million euro","15,094.29",""
"2010","Prov. Hainaut","Million euro","28,343.7",""
"2010","Prov. Liège","Million euro","25,991.15",""
"2010","Prov. Luxembourg (BE)","Million euro","5,952.88",""
"2010","Prov. Namur","Million euro","11,311.12",""
"2010","Extra-Regio NUTS 1","Million euro","243.44",""
"2010","Extra-Regio NUTS 2","Million euro","243.44",""
