"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2009","European Union - 27 countries (from 2020)","Million euro","10,587,697.08",""
"2009","European Union - 28 countries (2013-2020)","Million euro","12,324,697.08",""
"2009","Belgium","Million euro","346,472.8",""
"2009","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Million euro","64,437.32",""
"2009","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Million euro","64,437.32",""
"2009","Vlaams Gewest","Million euro","199,887.26",""
"2009","Prov. Antwerpen","Million euro","64,942.85",""
"2009","Prov. Limburg (BE)","Million euro","21,502.75",""
"2009","Prov. Oost-Vlaanderen","Million euro","41,473.29",""
"2009","Prov. Vlaams-Brabant","Million euro","36,954.23",""
"2009","Prov. West-Vlaanderen","Million euro","35,014.14",""
"2009","Région wallonne","Million euro","81,956.36",""
"2009","Prov. Brabant wallon","Million euro","13,126.56",""
"2009","Prov. Hainaut","Million euro","27,226.05",""
"2009","Prov. Liège","Million euro","25,122.92",""
"2009","Prov. Luxembourg (BE)","Million euro","5,734.38",""
"2009","Prov. Namur","Million euro","10,746.44",""
"2009","Extra-Regio NUTS 1","Million euro","191.86",""
"2009","Extra-Regio NUTS 2","Million euro","191.86",""
"2009","Bulgaria","Million euro","37,400.17",""
"2009","Severna i yugoiztochna Bulgaria","Million euro","14,515.72",""
"2009","Severozapaden","Million euro","2,830.66",""
"2009","Severen tsentralen","Million euro","3,068.42",""
"2009","Severoiztochen","Million euro","4,023.35",""
"2009","Yugoiztochen","Million euro","4,593.3",""
"2009","Yugozapadna i yuzhna tsentralna Bulgaria","Million euro","22,884.45",""
"2009","Yugozapaden","Million euro","17,586.6",""
"2009","Yuzhen tsentralen","Million euro","5,297.85",""
"2009","Czechia","Million euro","148,682.01",""
"2009","Cesko","Million euro","148,682.01",""
"2009","Praha","Million euro","37,949.9",""
"2009","Strední Cechy","Million euro","15,919.06",""
"2009","Jihozápad","Million euro","15,047.59",""
"2009","Severozápad","Million euro","12,927.85",""
"2009","Severovýchod","Million euro","17,400.43",""
"2009","Jihovýchod","Million euro","21,188.02",""
"2009","Strední Morava","Million euro","13,881.19",""
"2009","Moravskoslezsko","Million euro","14,367.97",""
"2009","Denmark","Million euro","231,278.1",""
"2009","Danmark","Million euro","224,581.98",""
"2009","Hovedstaden","Million euro","85,989.66",""
"2009","Sjælland","Million euro","23,437.27",""
"2009","Syddanmark","Million euro","45,297.11",""
"2009","Midtjylland","Million euro","48,727.33",""
"2009","Nordjylland","Million euro","21,130.47",""
"2009","Extra-Regio NUTS 1","Million euro","6,696.12",""
"2009","Extra-Regio NUTS 2","Million euro","6,696.12",""
"2009","Germany (until 1990 former territory of the FRG)","Million euro","2,445,730",""
"2009","Baden-Württemberg","Million euro","353,140.96","e"
"2009","Stuttgart","Million euro","144,065.77","e"
"2009","Karlsruhe","Million euro","92,533.42","e"
"2009","Freiburg","Million euro","61,466.46","e"
"2009","Tübingen","Million euro","55,075.3","e"
"2009","Bayern","Million euro","424,247.8","e"
"2009","Oberbayern","Million euro","183,832.23","e"
"2009","Niederbayern","Million euro","33,359.62","e"
"2009","Oberpfalz","Million euro","31,928.77","e"
"2009","Oberfranken","Million euro","29,096.8","e"
"2009","Mittelfranken","Million euro","55,397.9","e"
"2009","Unterfranken","Million euro","38,439.1","e"
"2009","Schwaben","Million euro","52,193.39","e"
"2009","Berlin","Million euro","98,714.82","e"
