Date,Key,RetailAndRecreation,GroceryAndPharmacy,Parks,TransitStations,Workplaces,Residential
2020-02-15,CL_VS,11.0,9.0,16.0,9.0,-2.0,-1.0
2020-02-15,CM,-1.0,1.0,4.0,1.0,2.0,1.0
2020-02-15,CO,4.0,5.0,-5.0,1.0,7.0,1.0
2020-02-15,CO_ANT,6.0,4.0,-3.0,6.0,7.0,0.0
2020-02-15,CO_ARA,-57.0,-48.0,-48.0,-43.0,-29.0,
2020-02-15,CO_CAL,-7.0,-8.0,-11.0,-21.0,5.0,1.0
2020-02-15,CO_CAQ,1.0,-6.0,-5.0,,8.0,1.0
2020-02-15,CO_CAS,-8.0,-3.0,-21.0,-11.0,7.0,4.0
2020-02-15,CO_CAU,-14.0,-8.0,-25.0,-45.0,-1.0,6.0
2020-02-15,CO_CAU,7.0,8.0,-4.0,7.0,6.0,1.0
2020-02-15,CO_CES,-16.0,-7.0,-14.0,-40.0,1.0,5.0
2020-02-15,CO_CUN,-2.0,0.0,-7.0,-14.0,7.0,0.0
2020-02-15,CO_GUV,-4.0,-3.0,-9.0,,6.0,
2020-02-15,CO_HUI,-3.0,-2.0,-15.0,,10.0,1.0
2020-02-15,CO_LAG,-8.0,-3.0,-14.0,-29.0,3.0,5.0
2020-02-15,CO_MAG,-12.0,-12.0,-28.0,-36.0,9.0,2.0
2020-02-15,CO_MET,-1.0,-2.0,-4.0,-12.0,9.0,1.0
2020-02-15,CO_PUT,-8.0,4.0,-14.0,,7.0,5.0
2020-02-15,CO_RIS,-3.0,0.0,-4.0,-7.0,4.0,1.0
2020-02-15,CO_SAN,-2.0,0.0,-9.0,-20.0,8.0,1.0
2020-02-15,CO_SUC,-18.0,-14.0,-17.0,-51.0,7.0,3.0
2020-02-15,CO_TOL,-10.0,-7.0,-15.0,-30.0,5.0,1.0
2020-02-15,CO_VAC,7.0,8.0,-4.0,7.0,6.0,1.0
2020-02-15,CO_VID,,,12.0,,,
2020-02-15,CR,5.0,10.0,4.0,2.0,4.0,0.0
2020-02-15,CV,1.0,-3.0,-3.0,-4.0,0.0,1.0
2020-02-15,CZ,13.0,8.0,37.0,14.0,3.0,-2.0
2020-02-15,DE,6.0,1.0,45.0,10.0,0.0,-1.0
2020-02-15,DE_BB,10.0,5.0,48.0,9.0,1.0,0.0
2020-02-15,DE_BE,5.0,6.0,46.0,5.0,1.0,-1.0
2020-02-15,DE_BW,6.0,1.0,52.0,10.0,3.0,-1.0
2020-02-15,DE_BY,7.0,2.0,37.0,13.0,1.0,-1.0
2020-02-15,DE_HB,4.0,3.0,93.0,13.0,0.0,-1.0
2020-02-15,DE_HE,7.0,3.0,42.0,7.0,2.0,0.0
2020-02-15,DE_HH,6.0,2.0,51.0,10.0,1.0,-1.0
2020-02-15,DE_MV,6.0,-1.0,51.0,15.0,-2.0,-2.0
2020-02-15,DE_NI,9.0,1.0,50.0,17.0,0.0,-1.0
2020-02-15,DE_NW,5.0,2.0,61.0,11.0,1.0,-1.0
2020-02-15,DE_RP,2.0,0.0,36.0,6.0,-2.0,-1.0
2020-02-15,DE_SH,6.0,2.0,31.0,14.0,3.0,0.0
2020-02-15,DE_SL,4.0,-3.0,36.0,4.0,-4.0,-1.0
2020-02-15,DE_SN,4.0,-1.0,33.0,14.0,-3.0,-2.0
2020-02-15,DE_ST,2.0,-1.0,34.0,8.0,-3.0,-1.0
2020-02-15,DE_TH,4.0,1.0,47.0,13.0,-3.0,-2.0
2020-02-15,DK,-2.0,-1.0,-4.0,2.0,-6.0,0.0
2020-02-15,DO,0.0,6.0,1.0,-2.0,-1.0,1.0
2020-02-15,EC,2.0,0.0,3.0,3.0,-2.0,0.0
2020-02-15,EE,4.0,0.0,-8.0,-1.0,1.0,0.0
2020-02-15,EG,4.0,8.0,9.0,8.0,5.0,0.0
2020-02-15,ES,2.0,-1.0,26.0,8.0,0.0,-2.0
2020-02-15,ES_AN,5.0,-1.0,33.0,15.0,0.0,-2.0
2020-02-15,ES_AS,0.0,-1.0,20.0,8.0,0.0,-1.0
2020-02-15,ES_CB,6.0,4.0,53.0,4.0,-1.0,-2.0
2020-02-15,ES_CE,-3.0,-6.0,3.0,,-1.0,
2020-02-15,ES_CM,9.0,0.0,36.0,13.0,0.0,-2.0
2020-02-15,ES_CN,-4.0,-2.0,5.0,0.0,-2.0,0.0
2020-02-15,ES_CT,2.0,-1.0,17.0,8.0,0.0,-1.0
2020-02-15,ES_EX,4.0,-3.0,32.0,11.0,0.0,-2.0
2020-02-15,ES_GA,0.0,-2.0,-16.0,-2.0,-1.0,0.0
2020-02-15,ES_IB,5.0,-2.0,11.0,9.0,2.0,0.0
2020-02-15,ES_MC,2.0,-2.0,28.0,6.0,1.0,-2.0
2020-02-15,ES_MD,-1.0,-2.0,31.0,7.0,-1.0,-2.0
2020-02-15,ES_ML,-4.0,-2.0,6.0,,1.0,
2020-02-15,ES_NC,1.0,-2.0,34.0,-29.0,0.0,-2.0
2020-02-15,ES_PV,-3.0,-3.0,39.0,9.0,0.0,-3.0
2020-02-15,ES_RI,0.0,0.0,27.0,7.0,0.0,-2.0
2020-02-15,ES_VC,2.0,0.0,33.0,0.0,-1.0,-1.0
2020-02-15,FI,3.0,0.0,-11.0,0.0,-2.0,0.0
2020-02-15,FJ,4.0,1.0,1.0,4.0,4.0,1.0
